exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error
15,1,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.0006140173657419205,0.0013303233875396954
15,2,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.0006140173657419205,0.0013303233875396954
15,3,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,0.0006140173657419205,0.0013303233875396954
15,4,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,0.0006140173657419205,0.0013303233875396954
15,5,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.2935004274862503,0.5026005440096201,0.0006140173657419205,0.0013303233875396954
15,6,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.9904540693410236,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565148,0.0006140173657419205,0.0013303233875396954
15,7,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,0.0006140173657419205,0.0013303233875396954
15,8,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.7969527881951413,-0.20411592444163865,-0.6407052945809155,0.5440021214015651,0.6248807496122719,0.0006140173657419205,0.0013303233875396954
15,9,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.6097457122035289,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,0.0006140173657419205,0.0013303233875396954
15,10,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,0.0006140173657419205,0.0013303233875396954
15,11,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,0.0006140173657419205,0.0013303233875396954
15,12,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.32903165430982395,0.4386599111472647,0.023996515473116764,-0.16497110482463473,0.21285257205184813,0.0006140173657419205,0.0013303233875396954
15,13,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.9326835315888112,0.2103371737512847,0.08075618136680962,0.5467885771585526,0.7065320804009592,0.0006140173657419205,0.0013303233875396954
15,14,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,0.0006140173657419205,0.0013303233875396954
15,15,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,0.0006140173657419205,0.0013303233875396954
15,16,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.942634864129884,-0.0037674492744359522,-0.02614472611340513,0.3115123890434568,-0.2384673151736332,0.0006140173657419205,0.0013303233875396954
15,17,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.7792433087145898,-0.6344399441432538,0.2882660059625033,-0.8352754998489977,0.6970477297542357,0.0006140173657419205,0.0013303233875396954
15,18,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.3476296532891101,-0.5496260650517266,-0.10859599898493257,0.15932001686603026,0.10773479349605153,0.0006140173657419205,0.0013303233875396954
15,19,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.8441810662745777,0.5369412745423818,-0.8599370336530436,0.3059009504775074,0.3073079834653933,0.0006140173657419205,0.0013303233875396954
15,20,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.9042640046260502,0.5334598019723256,0.4152116526087895,0.5698543722161165,-0.3749625478979888,0.0006140173657419205,0.0013303233875396954
15,21,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.9990518496230064,-0.38270508552766097,-0.6302541483035222,-0.8555475726657744,-0.8066554183749486,0.0006140173657419205,0.0013303233875396954
15,22,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.4289562642760911,0.5189906541713716,-0.5476597497299469,-0.6116869185182203,-0.9706427775684552,0.0006140173657419205,0.0013303233875396954
15,23,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.7138375868617991,-0.8956106194483802,0.7837199813945919,0.08136905101121616,-0.11718969147978785,0.0006140173657419205,0.0013303233875396954
15,24,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.6038000311545966,0.550105940302207,-0.2271176376367594,-0.1765694399862452,-0.3667841369804095,0.0006140173657419205,0.0013303233875396954
15,25,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.8060005073705072,-0.6661853372842408,-0.42502530987427023,0.8072780130507247,-0.07437962025411693,0.0006140173657419205,0.0013303233875396954
15,26,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.6613672797943853,-0.4219765475525408,-0.38777852148280734,0.2765004231220407,0.5464956349373453,0.0006140173657419205,0.0013303233875396954
15,27,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.9841367855768676,-0.9650485460071668,-0.8466695032789648,0.7322006869326725,0.20714926609212614,0.0006140173657419205,0.0013303233875396954
15,28,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.7297072757774874,0.44783925539318425,0.4905816391405074,-0.2970690230290096,0.1237253392509794,0.0006140173657419205,0.0013303233875396954
15,29,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,-0.6079946789875109,-0.06423701943454496,0.4865533969438405,0.6033969980695342,0.2085845384611682,0.0006140173657419205,0.0013303233875396954
15,30,5,2,100,10,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.8320472343336738,-0.3412856050188888,0.543920354933582,0.4764157291531057,-0.2342894059377496,0.0006140173657419205,0.0013303233875396954
15,31,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.0005654142530625346,0.001309571036670465
15,32,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.0005654142530625346,0.001309571036670465
15,33,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,0.0005654142530625346,0.001309571036670465
15,34,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,0.0005654142530625346,0.001309571036670465
15,35,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.2935004274862503,0.5026005440096201,0.0005654142530625346,0.001309571036670465
15,36,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.9904540693410236,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565148,0.0005654142530625346,0.001309571036670465
15,37,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,0.0005654142530625346,0.001309571036670465
15,38,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.7969527881951413,-0.20411592444163865,-0.6407052945809155,0.5440021214015651,0.6248807496122719,0.0005654142530625346,0.001309571036670465
15,39,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.6097457122035289,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,0.0005654142530625346,0.001309571036670465
15,40,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,0.0005654142530625346,0.001309571036670465
15,41,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,0.0005654142530625346,0.001309571036670465
15,42,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.32903165430982395,0.4386599111472647,0.023996515473116764,-0.16497110482463473,0.21285257205184813,0.0005654142530625346,0.001309571036670465
15,43,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.9326835315888112,0.2103371737512847,0.08075618136680962,0.5467885771585526,0.7065320804009592,0.0005654142530625346,0.001309571036670465
15,44,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,0.0005654142530625346,0.001309571036670465
15,45,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,0.0005654142530625346,0.001309571036670465
15,46,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.942634864129884,-0.0037674492744359522,-0.02614472611340513,0.3115123890434568,-0.2384673151736332,0.0005654142530625346,0.001309571036670465
15,47,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.7792433087145898,-0.6344399441432538,0.2882660059625033,-0.8352754998489977,0.6970477297542357,0.0005654142530625346,0.001309571036670465
15,48,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.3476296532891101,-0.5496260650517266,-0.10859599898493257,0.15932001686603026,0.10773479349605153,0.0005654142530625346,0.001309571036670465
15,49,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.8441810662745777,0.5369412745423818,-0.8599370336530436,0.3059009504775074,0.3073079834653933,0.0005654142530625346,0.001309571036670465
15,50,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.9042640046260502,0.5334598019723256,0.4152116526087895,0.5698543722161165,-0.3749625478979888,0.0005654142530625346,0.001309571036670465
15,51,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.9990518496230064,-0.38270508552766097,-0.6302541483035222,-0.8555475726657744,-0.8066554183749486,0.0005654142530625346,0.001309571036670465
15,52,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.4289562642760911,0.5189906541713716,-0.5476597497299469,-0.6116869185182203,-0.9706427775684552,0.0005654142530625346,0.001309571036670465
15,53,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.7138375868617991,-0.8956106194483802,0.7837199813945919,0.08136905101121616,-0.11718969147978785,0.0005654142530625346,0.001309571036670465
15,54,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.6038000311545966,0.550105940302207,-0.2271176376367594,-0.1765694399862452,-0.3667841369804095,0.0005654142530625346,0.001309571036670465
15,55,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.8060005073705072,-0.6661853372842408,-0.42502530987427023,0.8072780130507247,-0.07437962025411693,0.0005654142530625346,0.001309571036670465
15,56,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.6613672797943853,-0.4219765475525408,-0.38777852148280734,0.2765004231220407,0.5464956349373453,0.0005654142530625346,0.001309571036670465
15,57,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.9841367855768676,-0.9650485460071668,-0.8466695032789648,0.7322006869326725,0.20714926609212614,0.0005654142530625346,0.001309571036670465
15,58,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.7297072757774874,0.44783925539318425,0.4905816391405074,-0.2970690230290096,0.1237253392509794,0.0005654142530625346,0.001309571036670465
15,59,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,-0.6079946789875109,-0.06423701943454496,0.4865533969438405,0.6033969980695342,0.2085845384611682,0.0005654142530625346,0.001309571036670465
15,60,5,2,100,10,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.8320472343336738,-0.3412856050188888,0.543920354933582,0.4764157291531057,-0.2342894059377496,0.0005654142530625346,0.001309571036670465
15,61,5,2,100,10,0.4134257491952428,0.4160602528249332,-0.6556084520202786,0.4126456425282644,0.41346971868884486,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,0.0006382456715214501,0.002038292324165652
15,62,5,2,100,10,0.4134257491952428,0.4160602528249332,-0.6556084520202786,0.4126456425282644,0.41346971868884486,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,0.0006382456715214501,0.002038292324165652
15,63,5,2,100,10,0.4134257491952428,0.4160602528249332,-0.6556084520202786,0.4126456425282644,0.41346971868884486,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,0.0006382456715214501,0.002038292324165652
15,64,5,2,100,10,0.4134257491952428,0.4160602528249332,-0.6556084520202786,0.4126456425282644,0.41346971868884486,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,0.0006382456715214501,0.002038292324165652
15,65,5,2,100,10,0.4134257491952428,0.4160602528249332,-0.6556084520202786,0.4126456425282644,0.41346971868884486,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.2935004274862503,0.5026005440096201,0.0006382456715214501,0.002038292324165652
15,66,5,2,100,10,0.4134257491952428,0.4160602528249332,-0.6556084520202786,0.4126456425282644,0.41346971868884486,0.9904540693410236,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565148,0.0006382456715214501,0.002038292324165652
15,67,5,2,100,10,0.4134257491952428,0.4160602528249332,-0.6556084520202786,0.4126456425282644,0.41346971868884486,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,0.0006382456715214501,0.002038292324165652
15,68,5,2,100,10,0.4134257491952428,0.4160602528249332,-0.6556084520202786,0.4126456425282644,0.41346971868884486,-0.7969527881951413,-0.20411592444163865,-0.6407052945809155,0.5440021214015651,0.6248807496122719,0.0006382456715214501,0.002038292324165652
15,69,5,2,100,10,0.4134257491952428,0.4160602528249332,-0.6556084520202786,0.4126456425282644,0.41346971868884486,0.6097457122035289,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,0.0006382456715214501,0.002038292324165652
