id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
103,5,0.6097457122035289,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2,150,373276626,250,CMAES,p,0.4135577766980934,0.41500900563894894,-0.6570501249931164,0.4145323239800395,0.4139502144218466,0.00010932067312317018,0.0002564676894149353,42.62551488359294,722.2011861801147
104,5,0.6097457122035289,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2,150,554197088,250,CMAES,p,0.41565898416948804,0.4132472145081396,-0.6570488058648646,0.4142615754687906,0.41388024260550454,0.00010945102773611418,0.0002564676894149353,42.6763417979857,724.6139376163483
105,5,0.6097457122035289,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2,150,858138413,250,CMAES,p,0.41489626146805153,0.4135510834053435,-0.6570499595981173,0.41375095946032736,0.4148508540548207,0.00010932749476332003,0.0002564676894149353,42.628174727476356,727.1982560157776
106,5,0.6097457122035289,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2,200,373276626,250,CMAES,p,0.41447030728211925,0.4142742008530035,-0.6574433945419101,0.41491982546353473,0.41377879987047145,3.503230545595458e-05,8.199249412535214e-05,42.72623467508664,800.6988732814789
107,5,0.6097457122035289,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2,200,554197088,250,CMAES,p,0.41463205051899127,0.41420789367284033,-0.6574428676757866,0.4141366618084507,0.4144660001594683,3.502640165336113e-05,8.199249412535214e-05,42.71903425673563,797.3587327003479
108,5,0.6097457122035289,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,2,200,858138413,250,CMAES,p,0.41343011596997165,0.4148030555770088,-0.6574423635260657,0.4142438539634606,0.41496508141112226,3.508310293271979e-05,8.199249412535214e-05,42.78818848842906,793.7938902378082
109,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,50,373276626,250,CMAES,p,0.41170602105800186,0.4089673034235426,-0.6517002721935669,0.4196307373802601,0.4113174390710522,0.008894610153584743,0.02345564923067168,37.92097189939958,581.6314580440521
110,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,50,554197088,250,CMAES,p,0.41369645668426985,0.4136575108398007,-0.6517724831041489,0.4058259495990322,0.4185144060797329,0.00886133713153532,0.02345564923067168,37.779116853213466,585.6369903087616
111,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,50,858138413,250,CMAES,p,0.40970140474173716,0.4048326687581613,-0.6518671579405361,0.41560430035108287,0.4216510930983671,0.008886851769005633,0.02345564923067168,37.88789507213801,584.7672142982483
112,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,100,373276626,250,CMAES,p,0.414101638287026,0.4145022036912777,-0.6559586249195494,0.4144994586549427,0.4128493702607478,0.000657734286141482,0.0017309735954925479,37.99793872386158,655.1615836620331
113,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,100,554197088,250,CMAES,p,0.41374763146642063,0.41358895453638805,-0.6559663823966692,0.4161033068766819,0.4125205334081938,0.0006577474049017213,0.0017309735954925479,37.99869660718652,655.9788091182709
114,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,100,858138413,250,CMAES,p,0.4139255735973205,0.4139495174417023,-0.6559562672938337,0.41383186497344937,0.4142433584810164,0.0006576249410011676,0.0017309735954925479,37.99162175053518,655.2181596755981
115,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,150,373276626,250,CMAES,p,0.41384800222395546,0.41349178022753313,-0.6570330529351113,0.41443094282869236,0.4152611080443305,0.00013442715938707082,0.00035175236119267754,38.21641990725298,725.5713911056519
116,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,150,554197088,250,CMAES,p,0.4150524340936357,0.41420218084063515,-0.6570351320595766,0.4149888334977467,0.4127904644123008,0.0001344535785679656,0.00035175236119267754,38.22393064031677,726.5839688777924
117,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,150,858138413,250,CMAES,p,0.414134785943437,0.4138142106688539,-0.6570311231061615,0.41462290370046867,0.41445800212885625,0.00013438812387422876,0.00035175236119267754,38.20532246565807,728.0427627563477
118,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,200,373276626,250,CMAES,p,0.4136350351909163,0.4141756362386821,-0.6574314724009834,0.41476409652132273,0.4148563134199606,4.3054601817494864e-05,0.00011238924595903811,38.30847110869196,805.0078270435333
119,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,200,554197088,250,CMAES,p,0.4142195183260923,0.4140998352412768,-0.6574330031513792,0.4154234233847554,0.41368983465457976,4.303750324672755e-05,0.00011238924595903811,38.29325740152505,799.5330948829651
120,5,-0.1433912950891727,0.931426958169144,-0.4432147075343016,0.2803608072686108,-0.4891034605552478,2,200,858138413,250,CMAES,p,0.41444692093879715,0.41389642779293895,-0.6574309200596975,0.41438021530196045,0.41470696457883094,4.3039178497715766e-05,0.00011238924595903811,38.29474798096076,799.2763214111328
121,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,50,373276626,250,CMAES,p,0.41835763084762856,0.4058776397687872,-0.6488391540835933,0.4061013192459383,0.4184524987231993,0.009566254586888572,0.024571782634799616,38.93187046730761,558.9957802295685
122,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,50,554197088,250,CMAES,p,0.40268848900679705,0.4048449900152886,-0.6492572300611512,0.4276279610444563,0.4140361305249581,0.00975197590027504,0.024571782634799616,39.687702130588896,562.749632358551
123,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,50,858138413,250,CMAES,p,0.4124903358328922,0.41084408879248535,-0.6485044201031606,0.41181768450595463,0.41330091767704547,0.009632336728220612,0.024571782634799616,39.20080553935424,563.9206023216248
124,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,100,373276626,250,CMAES,p,0.4110468837573661,0.41435520346504356,-0.6555935025112055,0.4146225427605142,0.41555996750005947,0.0007176911675799402,0.0018358821786494208,39.09244154806898,636.7641305923462
125,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,100,554197088,250,CMAES,p,0.41243597143680194,0.4150499276704661,-0.6555750773572069,0.41240843929372534,0.4156719407442028,0.0007171730159251622,0.0018358821786494208,39.06421796919209,635.1903743743896
126,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,100,858138413,250,CMAES,p,0.41359397912899293,0.4126230768355528,-0.6555657657886697,0.41468348960303286,0.41465642118268575,0.0007170112051211571,0.0018358821786494208,39.05540417896704,631.2996888160706
127,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,150,373276626,250,CMAES,p,0.41510144195802395,0.41488614474492375,-0.6569301205300822,0.414200775491846,0.4127397033706248,0.00014631626291284908,0.00037379208547722097,39.14375627457357,714.1082527637482
128,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,150,554197088,250,CMAES,p,0.41439595207339175,0.4146012838542659,-0.6569258444701518,0.41456025663668766,0.4133662976621577,0.00014625053562255345,0.00037379208547722097,39.1261723575113,716.6814250946045
129,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,150,858138413,250,CMAES,p,0.41417218575407877,0.41447731550067596,-0.6569222597143258,0.41404896898531734,0.41422174201137046,0.00014623568107579018,0.00037379208547722097,39.12219834432579,722.306943655014
130,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,200,373276626,250,CMAES,p,0.4137806235300049,0.4144206768128491,-0.6573832139981144,0.4147016870387257,0.41447954530389125,4.6793743299758905e-05,0.00011950951049996058,39.154828016615745,796.2714335918427
131,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,200,554197088,250,CMAES,p,0.41361346600189897,0.41482087691101577,-0.6573837639799581,0.41456789540758204,0.4143808443006292,4.6792857213827775e-05,0.00011950951049996058,39.154086581120424,787.8324587345123
132,5,0.02902000307786645,-0.4152114361802653,0.9060357844471439,-0.7379464424503042,-0.5940617730831903,2,200,858138413,250,CMAES,p,0.41384592521210906,0.41477591250970447,-0.6573813765056714,0.414343033242701,0.41441582728933624,4.6791235029864074e-05,0.00011950951049996058,39.152729213027364,784.642618894577
13,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,50,373276626,250,CMAES,p,0.4129562805316094,0.41446196321850476,-0.652320918872614,0.41390515033632674,0.4109394152399948,0.007728743642307358,0.017867057334686128,43.25694767488767,584.1093153953552
14,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,50,554197088,250,CMAES,p,0.4111220338466333,0.41406646015428883,-0.6523519848508723,0.41682788395533454,0.41027706039562384,0.007733266066928544,0.017867057334686128,43.28225919953592,583.5037357807159
15,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,50,858138413,250,CMAES,p,0.41274095865766247,0.4128025816115545,-0.6523116173121142,0.413724575022674,0.4129856559886291,0.00772194430827483,0.017867057334686128,43.21889253292913,584.0563492774963
16,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,100,373276626,250,CMAES,p,0.4137544474552609,0.4136971803929927,-0.6562274038996152,0.41633991618524563,0.41243135820164945,0.0005650743453799942,0.001309571036670465,43.14957566690497,653.3531489372253
17,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,100,554197088,250,CMAES,p,0.41288262810013315,0.41351109702567107,-0.6562215658973763,0.41595106399241666,0.41387228456253555,0.0005654142530625346,0.001309571036670465,43.175531317497594,652.9903721809387
