,exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,error,v_suz_error
0,15,1,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.10697142702071599,0.529058605311209,0.5043258788245539,-0.34826462467060304,-0.950258369325947,0.000614017365742,0.0013303233875399999,0.000614017365742,0.001330323387528409
1,15,2,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.09640984945486199,0.16554078304766,-0.7392959233634109,-0.329631476009917,-0.471443856758978,0.000614017365742,0.0013303233875399999,0.000600058119273,0.0013095710366606828
2,15,3,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.141482629457203,0.49927993735163895,-0.845004439908944,0.562920582689051,-0.616606646912017,0.000614017365742,0.0013303233875399999,0.000999171752336,0.0020382923241751925
3,15,4,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.9990841044966379,0.219647910521367,0.159237006964318,0.7608713011021461,0.85138532629344,0.000614017365742,0.0013303233875399999,0.000672880722524,0.0012640933429922281
4,15,5,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.546249156306116,-0.100683572622685,0.6027915688719189,-0.29350042748625,0.5026005440096201,0.000614017365742,0.0013303233875399999,0.000751852977838,0.0015359722434719841
5,15,6,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.990454069341024,-0.244450416361064,0.7955458787759091,0.42909686644376294,0.926566143656515,0.000614017365742,0.0013303233875399999,0.000707484046378,0.0016526556537151892
6,15,7,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.08680268277826499,0.9132962777942599,-0.7319367414760491,-0.328949316263272,-0.547092014721715,0.000614017365742,0.0013303233875399999,0.000784093061294,0.0017035836136133665
7,15,8,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.7969527881951409,-0.20411592444163895,-0.640705294580916,0.544002121401565,0.624880749612272,0.000614017365742,0.0013303233875399999,0.00085502638676,0.0016187542698847361
8,15,9,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.6097457122035289,0.054466449135235996,-0.614493869181495,0.26393929826331997,0.803192227352991,0.000614017365742,0.0013303233875399999,0.000554372463609,0.0012602423422233553
9,15,10,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.143391295089173,0.9314269581691441,-0.44321470753430203,0.280360807268611,-0.48910346055524795,0.000614017365742,0.0013303233875399999,0.0007807816273150001,0.0017309735954713322
10,15,11,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.029020003077867,-0.415211436180265,0.9060357844471439,-0.737946442450304,-0.59406177308319,0.000614017365742,0.0013303233875399999,0.00092768076917,0.00183588217865041
11,15,12,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.32903165430982395,0.438659911147265,0.023996515473117,-0.164971104824635,0.21285257205184802,0.000614017365742,0.0013303233875399999,0.000678446787772,0.0011775516053292236
12,15,13,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.932683531588811,0.210337173751285,0.08075618136681,0.546788577158553,0.706532080400959,0.000614017365742,0.0013303233875399999,0.0007971942733230001,0.0016843907336223066
