id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
31,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,375,911475955,250,CMAES,p,0.41450027851124144,0.4143865209824092,-0.6578295473467707,0.4145517371622946,0.4143909865536388,3.0112475854368303e-06,6.929062465441424e-06,43.458225415853505,1043.3942484855652
32,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,400,911475955,250,CMAES,p,0.4143830735503924,0.4144914050094961,-0.6578456654398451,0.41448401158923076,0.41448715663102415,2.3273001080062313e-06,5.35474247590444e-06,43.46240960193216,1069.9840049743652
33,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,25,911475955,250,CMAES,p,0.41280062056705163,0.40592830173398115,-0.6449421346138913,0.41422816357990133,0.4121537541948917,0.09184041519738481,0.1486099366270388,61.799646296783976,548.7843804359436
34,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,50,911475955,250,CMAES,p,0.41170423717582044,0.41969882686866794,-0.6504424891925357,0.40585050871714046,0.41310550371126664,0.008723435667408538,0.027244667272739893,32.01887393257658,590.312726020813
35,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,911475955,250,CMAES,p,0.41486292960044147,0.4143826753555155,-0.6540124372556219,0.4140873553547285,0.4106586764492844,0.0019372250893337879,0.006164282866649955,31.426609246220288,624.6193761825562
36,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,100,911475955,250,CMAES,p,0.41367518425615846,0.41247223751992,-0.6556121156974649,0.4161094578767876,0.4133481370292895,0.0006382075794286891,0.002038292324165652,31.310895491397723,660.9419319629669
37,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,911475955,250,CMAES,p,0.41427764078780055,0.41389414274790093,-0.6564086103195907,0.41456195208195573,0.4136718744568987,0.00026695718043201326,0.0008516452848824616,31.34605277229438,677.4256525039673
38,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,150,911475955,250,CMAES,p,0.41367655673671266,0.41439502365985015,-0.6568684309833176,0.41501238369712146,0.41378299369339183,0.00013020869222337526,0.00041511284407295707,31.367059362897184,701.2561991214752
39,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,175,911475955,250,CMAES,p,0.4142247114755874,0.41344770436138817,-0.6571519310684567,0.41480079768073985,0.41467791473912496,7.084966692275847e-05,0.00022550356787265588,31.418423926120756,733.5029397010803
40,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,200,911475955,250,CMAES,p,0.4141852258474458,0.41419725630324955,-0.6573372979267068,0.4142165615580974,0.41473778027776814,4.1712858032672856e-05,0.00013273298957841955,31.426142186022727,767.796059846878
