id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
103,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,3901933,250,CMAES,p,0.41452571175792596,0.416220263539234,-0.6568250886855437,0.412076368661816,0.4140008651503471,0.0002364045401364081,0.0005460079975930028,43.296900627566494,698.362343788147
104,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,5560785,250,CMAES,p,0.41377852156670797,0.41441102488057824,-0.6568135192424558,0.41435727561313146,0.41426481148208016,0.0002361502483221173,0.0005460079975930028,43.250327717387194,697.5271322727203
105,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,5692317,250,CMAES,p,0.41377368781451795,0.4152170376157064,-0.6568175040827146,0.4132200252255018,0.41460486673856417,0.0002361534308552357,0.0005460079975930028,43.25091059037302,694.2375869750977
106,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,6016665,250,CMAES,p,0.4136858765234528,0.4142819253136393,-0.6568139384291123,0.41476724674947085,0.414077004166481,0.00023614605610808764,0.0005460079975930028,43.249559923866194,689.7717504501343
107,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,6335549,250,CMAES,p,0.41470711010083733,0.4140566632425936,-0.656814204023947,0.41458687669197536,0.41346167050937344,0.00023627294853647928,0.0005460079975930028,43.272799954955666,689.8217675685883
108,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,6387322,250,CMAES,p,0.41292303328045876,0.4166500863642669,-0.6568294541564738,0.41253066263484783,0.4147237873491857,0.00023620962600631425,0.0005460079975930028,43.26120259183202,689.9346990585327
109,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,7588418,250,CMAES,p,0.4141425043054186,0.4134637854675937,-0.6568138996319932,0.41483728276745346,0.4143684432647462,0.00023617407095606144,0.0005460079975930028,43.25469077324886,709.1102685928345
110,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,7822578,250,CMAES,p,0.412404574086882,0.41516315877291105,-0.6568197943275965,0.41513400600374684,0.41411617390796596,0.00023641620658805654,0.0005460079975930028,43.29903730902535,708.6844561100006
111,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,7913248,250,CMAES,p,0.4148420577393206,0.414820374685335,-0.6568147844501553,0.4132819378909934,0.41386853292465775,0.00023634801337088835,0.0005460079975930028,43.28654789175147,708.2092742919922
112,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,8597652,250,CMAES,p,0.4159293404347556,0.41399516817537907,-0.6568203687873021,0.41284508920044427,0.4140488930624179,0.00023670325150111404,0.0005460079975930028,43.351608867376676,703.4911415576935
113,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,8805269,250,CMAES,p,0.4145609164912285,0.4143506561933826,-0.6568149655359112,0.4135844451512397,0.4143170610510378,0.00023617168000801685,0.0005460079975930028,43.25425287709072,708.1594586372375
114,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,8996026,250,CMAES,p,0.4144346992707687,0.41418087813722737,-0.6568133091673476,0.41385511939900954,0.4143407273003751,0.00023614902470628387,0.0005460079975930028,43.25010361520575,707.16961145401
115,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,9001963,250,CMAES,p,0.41409628268571286,0.4131208986675843,-0.6568156318690959,0.4142466348487534,0.4153499363601448,0.00023642799723574848,0.0005460079975930028,43.301196736679145,713.3557250499725
116,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,9555957,250,CMAES,p,0.4140213111914482,0.41445234032531547,-0.6568131794775168,0.41431794613598744,0.4140196961203564,0.00023612418987199485,0.0005460079975930028,43.24555517738094,704.4093153476715
117,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,9809859,250,CMAES,p,0.4135044081545723,0.41484548215253825,-0.6568147941249233,0.4145161616715109,0.41394685578442125,0.00023612361877475862,0.0005460079975930028,43.2454505823496,698.8021023273468
118,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,9869527,250,CMAES,p,0.4152045434142266,0.4146114734116866,-0.6568161598133223,0.4129841685806417,0.4140140946821182,0.00023644055864079392,0.0005460079975930028,43.303497326615705,696.3118677139282
119,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,9926156,250,CMAES,p,0.41389245104494304,0.4146185730217881,-0.6568135075527612,0.41400728918239316,0.41429330872917464,0.00023613621228483426,0.0005460079975930028,43.24775705224219,696.8130300045013
120,5,0.09640984945486153,0.16554078304766007,-0.7392959233634115,-0.32963147600991705,-0.4714438567589781,2,125,9962042,250,CMAES,p,0.4138981451540399,0.4142267980668253,-0.6568134920434058,0.4147144006106081,0.4139722626004156,0.00023612512629538215,0.0005460079975930028,43.245726680983715,699.6319510936737
121,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,460591,250,CMAES,p,0.41170447027547,0.4164486154087466,-0.6540259952895862,0.4150473166503585,0.4108046653394055,0.0019306199958019931,0.006164282866649955,31.319458200840305,599.4033739566803
122,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,768387,250,CMAES,p,0.41377668120037925,0.413237357001012,-0.654076966960577,0.4191902298532405,0.4078519249013912,0.001937842389621123,0.006164282866649955,31.436623392240012,600.904618024826
123,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,948039,250,CMAES,p,0.41606287557244737,0.4131224418366402,-0.6540018209106193,0.4127915225448083,0.41200430513450054,0.001937293519455651,0.006164282866649955,31.427719352997407,599.7036044597626
