,r,gate count,error
0,25.0,4251.0,0.11504446686014429
1,50.0,8501.0,0.008664662321325357
2,75.0,12751.0,0.001976394386587047
3,100.0,17001.0,0.0006562033969842441
4,125.0,21251.0,0.0002747465462947717
5,150.0,25501.0,0.00013407513291719325
6,175.0,29751.0,7.288670299596037e-05
7,200.0,34001.0,4.2921928575818984e-05
8,225.0,38251.0,2.688049001189234e-05
9,250.0,42501.0,1.7676026638585958e-05
10,275.0,46751.0,1.2093067900294466e-05
11,300.0,51001.0,8.549318369595226e-06
12,325.0,55251.0,6.21312802699859e-06
13,350.0,59501.0,4.622856778987044e-06
14,375.0,63751.0,3.5101918051723607e-06
15,400.0,68001.0,2.7129361485216424e-06
