,r,gate count,error
0,25.0,3130.0,0.11928386310805533
1,50.0,6255.0,0.016709391563928266
2,75.0,9380.0,0.0037074315890868485
3,100.0,12505.0,0.0012200170593870024
4,125.0,15630.0,0.0005087649050058711
5,150.0,18755.0,0.000247741623460971
6,175.0,21880.0,0.00013450544537601977
7,200.0,25005.0,7.914244712893225e-05
8,225.0,28130.0,4.9535943505603255e-05
9,250.0,31255.0,3.256053975369198e-05
10,275.0,34380.0,2.226963925332508e-05
11,300.0,37505.0,1.574016278346052e-05
12,325.0,40630.0,1.1436972583839017e-05
13,350.0,43755.0,8.50844508950397e-06
14,375.0,46880.0,6.459834762271627e-06
15,400.0,50005.0,4.992176020365256e-06
